Thu Oct 12 2023 15:34:20 GMT+0000 (Coordinated Universal Time) - Run Time: 3051ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
No Filters

Persons 2016 
Table: 

,$0 to $14999,$15000 to $39999,$40000 to $59999,$60000 to $99999,$100000 to $124999,$125000 and above,Decline / don't know
1,0,131,45,270,241,1021,301
4,0,0,0,95,0,0,0
5,19,18,0,0,0,174,78
14,107,73,72,177,136,351,112
15,26,136,130,453,547,1066,164
16,92,151,178,564,447,773,507
17,623,894,1094,1322,601,1362,1454
18,810,1490,572,534,243,235,813
19,0,104,152,267,291,487,177
20,38,3,185,204,108,739,37
21,2343,3977,3280,3467,1415,1225,2576
22,452,980,1054,2285,598,1770,1191
23,1144,275,663,275,86,246,392
24,727,1026,561,796,328,369,434
25,298,727,650,1589,870,2472,429
26,241,930,421,947,444,1131,727
30,0,100,62,240,157,563,100
34,157,394,291,945,595,1469,889
35,0,0,31,113,145,644,281
36,30,54,212,526,375,686,677
37,419,232,671,471,272,503,290
38,715,485,750,1203,683,1114,613
39,164,312,223,465,206,289,193
40,341,884,543,904,401,496,416
41,778,512,878,1941,763,897,883
42,305,640,721,1355,597,1369,503
43,95,261,245,1391,361,1097,240
44,335,291,269,752,310,997,441
45,29,101,345,597,284,1327,685
46,1335,1397,743,1613,624,916,1446
47,327,211,270,255,110,717,347
48,354,366,301,406,333,642,333
49,197,58,176,47,0,70,234
50,552,362,265,933,492,1997,1066
51,206,435,166,434,91,299,146
53,82,175,194,619,225,465,429
54,0,0,8,0,0,0,0
55,40,0,32,61,112,626,45
56,40,0,0,0,0,14,0
57,0,8,14,58,80,247,0
59,0,104,23,442,252,458,143
60,47,99,200,662,723,1637,401
61,29,291,245,552,364,1273,395
62,74,268,369,1086,644,1594,670
63,96,194,265,583,280,729,192
64,297,215,357,1612,1038,2688,463
65,222,163,247,1367,773,1477,532
66,485,623,340,1456,797,1864,572
67,755,347,708,1152,936,1661,903
68,259,905,374,610,77,631,483
69,0,0,0,0,0,0,89
70,0,163,26,471,245,370,70
71,406,1128,596,2571,770,1936,1067
72,204,461,669,1601,993,2406,742
73,88,207,193,1274,140,465,212
74,7,118,337,1407,26,413,32
75,65,230,393,1042,77,743,225
76,461,2216,563,86,178,886,1380
77,94,257,176,912,455,1371,285
78,58,105,333,468,311,1329,336
79,535,181,1792,2603,1287,1838,1243
80,28,59,246,430,410,610,349
81,10,27,95,100,192,92,42
82,37,29,135,593,175,767,58
83,0,0,0,0,37,0,0
84,70,634,902,2476,1127,1692,1173
89,240,480,1176,3169,2145,2763,876
90,262,1340,954,3124,1654,4013,1527
91,42,563,114,557,650,853,129
92,0,306,81,678,330,1246,535
93,491,1318,866,1314,497,2386,718
94,246,242,552,943,547,1954,318
95,134,968,224,431,896,897,468
96,87,358,453,835,157,1205,543
97,716,309,503,1354,1238,761,219
98,5,58,86,1100,1088,1864,194
99,335,1010,2262,3226,1890,3006,840
100,61,370,193,993,179,596,199
101,206,903,1863,1129,381,506,414
102,169,443,159,692,1671,855,746
103,0,209,319,503,385,420,434
104,50,234,582,1255,117,610,660
105,2014,2307,2549,3478,1282,1198,1997
106,681,407,269,1055,696,775,425
107,766,678,232,713,354,646,1002
108,0,77,382,262,302,462,255
109,1375,735,323,557,140,823,576
110,2068,6629,3176,2815,933,1437,2155
113,85,1000,455,793,622,2400,198
114,110,243,343,1457,314,2026,589
115,677,338,426,536,475,1763,810
116,148,645,416,746,860,828,1273
117,42,217,718,770,436,650,241
118,48,119,212,736,240,724,684
119,373,1313,2323,2570,1101,3197,1855
120,146,455,434,848,237,2294,896
121,0,60,31,261,142,372,23
122,199,548,727,1908,1435,3410,1635
123,125,0,319,362,512,1736,523
124,0,278,317,1045,886,4133,1115
125,6,509,302,775,441,2560,798
126,36,153,263,623,492,1015,518
127,0,332,315,500,243,1631,502
128,452,497,225,219,337,772,610
129,36,50,1555,849,641,507,344
130,119,1622,918,1338,437,1015,1175
131,881,1727,1101,1296,74,488,1565
132,482,895,772,839,290,329,791
133,925,2438,3100,2500,564,445,812
134,22,464,377,873,503,1187,658
135,85,231,295,447,283,581,820
137,192,2310,624,834,230,753,1512
138,1031,1159,664,529,129,136,417
139,126,1771,3354,2720,330,620,897
140,248,478,472,556,36,663,411
142,83,544,853,693,466,395,379
143,999,2672,839,2027,590,168,1773
144,391,627,348,103,91,561,209
145,688,27,567,203,588,450,877
146,7,43,123,72,73,40,46
147,1009,1703,477,392,843,638,564
148,14,503,841,621,935,404,583
149,728,999,1221,823,14,0,203
150,436,1259,2017,2111,1563,1399,929
151,710,284,231,446,0,171,564
152,335,531,1478,692,381,83,234
153,490,916,1877,2308,484,291,1282
154,317,1258,1083,1920,418,685,1448
155,178,166,288,580,357,138,405
156,0,0,77,192,0,0,0
157,0,45,64,98,0,0,245
158,196,1492,1520,880,642,576,800
160,127,19,77,234,38,0,125
161,72,85,340,921,435,122,334
162,13,616,423,539,186,168,835
163,107,1723,1198,1631,188,816,615
164,144,968,412,1377,892,956,1821
165,239,440,444,524,959,2118,537
166,601,300,1795,1204,1044,930,736
167,65,185,842,710,220,658,1124
168,0,33,0,0,0,163,37
169,35,454,658,545,830,1787,324
170,388,534,348,844,565,1487,650
171,45,585,405,900,547,525,850
172,0,269,1107,896,482,1933,1070
173,423,1744,1353,2567,1467,2752,1876
174,142,322,206,125,893,1152,1068
175,643,1529,803,905,728,952,1249
176,330,1116,401,421,461,921,1045
177,738,1554,1824,2784,1146,1627,1634
178,16,371,381,618,306,1262,1207
179,31,487,328,650,253,341,1183
180,0,19,0,0,0,0,10
181,235,1088,883,1291,469,514,1895
182,265,1002,2072,1499,602,1190,1794
183,337,1017,574,1606,346,1734,1217
184,63,364,713,873,104,2785,1109
185,54,427,405,661,389,1972,1087
186,9,50,300,499,800,1199,1012
