Fri Nov 03 2023 17:08:33 GMT+0000 (Coordinated Universal Time) - Run Time: 2717ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 3, 
and
Trip purpose of destination - purp_dest In S, 
and
Primary travel mode of trip - mode_prime In S, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (600)

   ggh4_orig   ggh4_dest      total
        4226        4177         44

TABLE    : start_time (630)

   ggh4_orig   ggh4_dest      total
        4174        4171         22

TABLE    : start_time (645)

   ggh4_orig   ggh4_dest      total
        3476        3416         11
        4054        4046         51
        4280        4002         25
        4329        1119         28
        4333        4189         16

TABLE    : start_time (650)

   ggh4_orig   ggh4_dest      total
        4360        4328         30
        7067        7158         14

TABLE    : start_time (700)

   ggh4_orig   ggh4_dest      total
        1055        4074         20
        1165        5074         17
        2023        2037         32
        2276        2192         12
        2276        2202         12
        3097        3006         21
        3219        3256         20
        3345        3256         45
        3390        8815         28
        3431        3373         16
        3465        3416         64
        4023        5093         10
        4045        4245         48
        4054        4046         20
        4090        4064         19
        4117        4046         25
        4122        4039         25
        4142        4274         19
        4214        4252          8
        4337        4328         16
        4371        4358         12
        4371        4370         12
        5113        5093         10
        5125        5076         14
        5125        5093         13
        5187        5194         80
        6005        6031         80
        6056        6059         47
        6075        6171         20
        6100        6093         31
        6123        6032         23
        6202        6177         55
        7041        7037         97
        7109        7151         19
        8255        8252         29
        8271        8353         39
        8350        8255         29
        8421        8397          4
        8875        8835        106
        8889        8869         44
        9009        9010         41

TABLE    : start_time (705)

   ggh4_orig   ggh4_dest      total
        1283        4128        118
        3170        3269         19
        3223        3255         12
        5170        5194         24
        7009        7010         71
        7045        7037         38
        8420        8427         19

TABLE    : start_time (706)

   ggh4_orig   ggh4_dest      total
        3097        3071         13

TABLE    : start_time (710)

   ggh4_orig   ggh4_dest      total
        2196        2198         35
        4042        4127          7
        4117        4074         22
        4119        4074         18
        4317        4251         30
        4326        4018         50
        4333        4272         22
        5130        5074         26
        5200        5194         33
        6100        6093         22
        7020        7004          8
        7023        7045          8
        8387        8309         26
        9019        9022         37

TABLE    : start_time (712)

   ggh4_orig   ggh4_dest      total
        4015        4111         35

TABLE    : start_time (715)

   ggh4_orig   ggh4_dest      total
        1519        1475         70
        2010        2055         44
        2094        2055         13
        3084        3121        226
        3118        3080         11
        3144        3071         24
        3159        3071         24
        3187        3269          7
        3214        3269         44
        3225        3358          5
        3425        3389         79
        3446        3429         96
        3474        3202         41
        4005        4074         23
        4009        4046         33
        4012        4003         20
        4018        4021         49
        4035        4105         39
        4038        4002         31
        4141        4127         22
        4142        4177         21
        4148        4124         57
        4174        4252          6
        4244        4272         20
        4244        4338         45
        4245        4128         37
        4283        4371          4
        5065        5074         14
        5080        5061         37
        6056        6059         58
        7107        7157          7
        8241        8309         38
        8255        8252         30
        8350        8255          7
        8803        8815         40
        8865        8831         29
        8884        8865         54
        9140        9111         85

TABLE    : start_time (720)

   ggh4_orig   ggh4_dest      total
        1055        1246         43
        1136        1317         54
        2020        2037         18
        2299        2299          7
        3056        3202         25
        3097        3130         24
        3128        3080         45
        3168        3121         26
        3197        3358         24
        3231        3247         14
        3249        3247         20
        3275        3202         55
        3292        3257         30
        3298        3358          5
        3349        3389         10
        3417        3416         46
        3440        3246         17
        3443        3416         18
        4005        4012         10
        4023        5093         25
        4148        4124          8
        4204        4204         18
        4273        4189         26
        4310        4189         34
        4330        4284         24
        4344        4328         45
        4367        4370         34
        5076        5093         18
        5132        5132          8
        6055        6031        128
        6122        6050        169
        6235        6227        152
        7005        7010         23
        7016        7033         16
        7053        7067          8
        7060        7067         58
        8201        8213         84
        8834        8840         23
        8878        8865         57
        9148        9123         75

TABLE    : start_time (725)

   ggh4_orig   ggh4_dest      total
        1068        1119         12
        2013        1467         60
        2152        2177         44
        3097        3130         36
        3168        3121         12
        3196        3269         25
        3272        3358         18
        3365        3288         29
        3396        3389         15
        4084        4028         17
        4099        4028         98
        4164        4272         92
        4224        3023         19
        4341        4272         13
        4362        4374         13
        4376        4370          9
        5107        4297         27
        6037        6031         84
        6073        6059        125
        6091        6059         51
        7022        7010         49
        7079        7099         22
        7153        7155         22
        8210        8289        101
        8390        8397         10
        8399        8377         53
        8405        8397         48
        8703        8596         20
        8703        8708         41
        8831        8830         24
        8867        8869         44
        8918        8908        114
        9140        9135         30

TABLE    : start_time (730)

   ggh4_orig   ggh4_dest      total
        1555        1571         43
        1583        1484         25
        1592        1501         19
        2020        2041         21
        2025        2042        117
        2078        2031         26
        2078        2180         26
        2097        2124         32
        2097        2157         32
        2103        2013         14
        2104        2174         18
        2130        2094         25
        2175        2157         23
        2189        2201         24
        2207        2235         59
        2242        2292          4
        2276        2246         19
        2279        2192         19
        2299        2299         12
        3067        1243         31
        3097        3130         28
        3109        3121         21
        3180        3166         21
        3246        3265         18
        3257        3269         19
        3266        3247         11
        3269        3265         26
        3272        3265         15
        3275        3155         18
        3285        3247         44
        3293        3302         15
        3312        3358         22
        3368        3373         82
        3398        3389         46
        3404        3419         28
        3424        3408         13
        3426        3023         31
        3443        3429         38
        4029        4074         41
        4051        4084         23
        4059        4039         25
        4091        4128         45
        4101        4124         16
        4107        4102         38
        4107        4128         20
        4110        1222         11
        4110        4124         23
        4111        4124         23
        4125        4038         15
        4125        4129         15
        4133        4059         24
        4133        4177         27
        4134        4057         14
        4143        4128         16
        4148        4147         45
        4162        4204         27
        4191        4173         18
        4214        4173          6
        4235        4177         17
        4251        4297         29
        4254        4266         13
        4273        1270         22
        4273        4297         27
        4307        4289          7
        4307        4338          7
        4362        4370         46
        4364        4374         62
        4367        4370         20
        5006        5024         38
        5022        5045         21
        5049        5074         20
        5087        5132         20
        5087        5158         20
        5089        5132          7
        5098        5093         17
        5108        5074         18
        5130        5095         97
        5133        5132         18
        5155        5158         29
        5183        5194         31
        5188        5194         18
        5191        3023         17
        5201        5192          8
        6019        6104         44
        6056        6032         32
        6082        6093          8
        6104        6059         41
        6133        6059         83
        6230        5076         20
        7022        7004         17
        7037        7037         31
        7062        7158         29
        7079        7087         24
        7087        7099         21
        7090        7157         27
        7123        7157         12
        7141        7155         76
        7144        7155        143
        7154        7145         24
        8156        8139         13
        8230        8289         18
        8238        8264         77
        8238        8308         35
        8255        8252         46
        8261        8366         24
        8304        8330         36
        8312        8293         67
        8338        8252         31
        8361        8319         41
        8417        8397         15
        8424        8427         32
        8522        8289         14
        8530        2160         39
        8530        8577         27
        8597        8528         42
        8801        8815         25
        8827        8826         31
        8835        8830         30
        8837        8834         49
        8837        8840         41
        9014        9010         28
        9024        9022         16
        9140        9131         30
        9145        4228         19

TABLE    : start_time (735)

   ggh4_orig   ggh4_dest      total
        2097        2098         25
        2177        2174         15
        3097        3130         21
        3218        3269         15
        3228        3058         29
        4087        4064         46
        4101        4124         12
        5143        5132         11
        6235        6177         28
        7014        7016         22
        7046        7045         41
        7063        7087         58
        7075        7083         21
        7079        7087         61
        8239        8309         41
        8273        8333         21
        8393        8397         21
        8399        8364         53
        8413        8421         26
        8424        8427         26
        8537        8333         21
        8586        8587         14
        8817        8815         36
        8873        8865         38

TABLE    : start_time (737)

   ggh4_orig   ggh4_dest      total
        3188        3121         19

TABLE    : start_time (738)

   ggh4_orig   ggh4_dest      total
        5188        5194         49

TABLE    : start_time (740)

   ggh4_orig   ggh4_dest      total
        1108        1156         18
        1326        1481         70
        1538        1467         33
        2009        2042         11
        2020        2041         11
        2048        2101          8
        2215        2174         25
        2286        2286         24
        2299        2299          7
        2317        2310        105
        3034        1394         36
        3302        3281         25
        3443        3429         47
        4084        4061         20
        4107        4094         18
        4111        4121         67
        4111        4124         21
        4143        4121         30
        4162        4111         63
        4173        4186         14
        4311        4285         49
        4326        4267         28
