Fri Nov 03 2023 22:39:19 GMT+0000 (Coordinated Universal Time) - Run Time: 2900ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 5, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        1003        1181         18
        1055        1416         14
        1216        1430         44
        1245        4182         13
        1251        4136          6
        1295        1198         35
        1295        3106         20
        1305        1015         17
        1340        3432         16
        1425        4378         29
        1433        1451         38
        1436        2003         52
        1464        1221         23
        1466        3010          6
        1511        1461         17
        1549        1353         53
        1602        1005         12
        1619        3346          8
        1625        1532         50
        2036        1105         10
        2037        1528          8
        2050        1009         43
        2131        2290         38
        2134        3052         36
        2186        4250         12
        2189        4242         12
        2198        1340         17
        2206        1623         31
        2286        9002         21
        2294        3138         26
        2297        1075         38
        2313        1316         18
        2318        2309         14
        3065        1145         26
        3080        1188         14
        3087        1411         22
        3119        4149         16
        3130        8815         36
        3144        4378         21
        3159        3131         25
        3185        1104         15
        3187        3246         20
        3212        3017         43
        3223        1416         10
        3272        3169          8
        3282        3251         23
        3343        1300         12
        3407        1473         11
        3462        3012         10
        3469        1469         18
        3474        3404         74
        3488        1550         24
        4024        1316          4
        4040        4136         46
        4042        4378         19
        4044        4182          7
        4052        4378         13
        4054        1010         17
        4054        1029         28
        4075        4378         21
        4081        1021         34
        4113        1014         24
        4113        4092         11
        4113        8813         28
        4160        8537         14
        4163        4187          5
        4164        4378         47
        4164        5081          3
        4214        4378          9
        4215        4172         11
        4257        4378          9
        4268        3115          9
        4270        1091         13
        4280        4182         13
        4298        3059         30
        4298        4180         30
        4311        1404         25
        4312        4216         10
        4320        4380         22
        4324        1411         19
        4331        4268         14
        4341        4001         19
        4376        5194          7
        5076        1014         18
        5096        3070         39
        5107        1405         26
        5113        1075          7
        5182        5142         12
        5183        8567         54
