Thu Nov 02 2023 15:04:44 GMT+0000 (Coordinated Universal Time) - Run Time: 2700ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 1, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        1007        8813          8
        1022        3208         15
        1155        1050         14
        1201        4189         16
        1217        4292         21
        1239        1114         19
        1246        4378         20
        1254        3123         13
        1285        1610         29
        1301        3115         15
        1362        1477         18
        1375        4102         21
        1382        1242          5
        1411        1390         20
        1417        4207         15
        1423        1411         15
        1426        1122         41
        1448        1135          6
        1493        1015         22
        1513        1139         21
        1607        4378         39
        2004        4379         25
        2013        2140         13
        2037        1630         23
        2048        4059         14
        2107        1416         26
        2107        2206         51
        2134        2011         11
        2156        1138         15
        2158        3302         14
        2175        2058         80
        2206       17118          8
        2223        1122         24
        3033        3383         20
        3055        1405          8
        3087        1569         16
        3120        4118          5
        3217        8806         22
        3221        1609          5
        3255        4378          9
        3273        1522         27
        3276       17628         25
        3476        3473         15
        3477        8821         17
        3483        3246         10
        4036        1404         77
        4052        4047         27
        4054        4378         18
        4070        4120         14
        4080        1022         66
        4117        4378         12
        4128        3222         16
        4191        8504         28
        4228        4378         32
        4244        4120         17
        4244        5204         25
        4269        4180          8
        4278        4311         41
        4285        3225         17
        4298        4378         16
        4320        4385         19
        4330        4250         13
        4332        4384         24
        4345        4182         56
        4362        1076         23
        5002        8501         11
        5026        5027         25
        5081        5157         17
        6029        6199         22
        6046        4001         57
        6061        5041         19
        6065        6112         25
        6136        4182         19
        6159        6088        170
        6178        4180         73
        6211        1122          7
        6215        4069         32
        6228        6220         15
        7032        5070         16
        7074        7144         14
        7145        1021         12
        7168        7063         13
        8220        1319         34
        8255        1035         16
        8288        8405         24
        8311        8285         40
        8382        8260         14
        8576        8569         26
        8596        8512         20
        8703        8706         19
        8705        5144         44
        8802        4253         39
        8817        1256         20
        8830        1319         31
        8833        1077         28
        8837        8833         17
        8872        8860         16
        8885       17580         70
        8890        8833          8
        8893        8802         24
        9012        3223         21
        9017       17488         14
        9018        2028         15
        9018        9023         15
        9019        8896         20
        9023        9010         15
