Fri Nov 03 2023 17:59:04 GMT+0000 (Coordinated Universal Time) - Run Time: 2900ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 4, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        1011        1021         10
        1012        1017         29
        1021        1125         34
        1081        4253         22
        1251        1262         14
        1295        1322         38
        1314        1265         25
        1338        4182         82
        1352        5056         97
        1432        1309         20
        1438        1491          7
        1461        1477         30
        1507        1461         11
        1539        1612         23
        1558        1319         14
        1625        3100         17
        1631        1320         17
        2034        2011         15
        2055        2011         16
        2077        9303         30
        2078        2066         32
        2089        1501         20
        2115        3238         26
        2150        2075         46
        2172        3351         16
        2190        2198          4
        2198        2008         19
        2201        1044         34
        2204        1356         11
        2204        2018         14
        2239        2061         42
        2286        4149          5
        2294        1247          8
        3051        4180         21
        3118        1015         16
        3302        3208         43
        3382        3054         26
        3422        3432         23
        3431        4379         43
        3488        2019         30
        4009        4182         45
        4012        1218         36
        4029        3007         21
        4030        4115         63
        4042        4378          7
        4052        4251         12
        4053        1321          9
        4057        3100         21
        4080        4154          7
        4082        5048         22
        4096        4120         48
        4106        4093         15
        4129        5144         23
        4143        1347         35
        4162        4264         18
        4187        4384         20
        4209        4288         28
        4228        4120         67
        4228        4291         22
        4228        5157         42
        4244        4264         42
        4246        4180         18
        4255        4238         44
        4277        4175         17
        4310        1051         18
        4317        4013         19
        4323        4276          5
        4329        4234         18
        4335        4247         11
        4341        3059         13
        4341        3134         19
        4341        4378         19
        4344        4351         34
        4376        4383          6
        5017        1545         26
        5045        4311         22
        5051        4012         15
        5065        5045         12
        5074        1021         11
        5080        4170         81
        5122        4378         11
        5125        1181         31
        5139        4055         61
        5158        4378         15
        5158        8504         37
        6032        5070         55
        6100        4115         99
        6122        5016         38
        6123        2079         37
        6123        6144         43
        6123        6221         50
        6131        5026         28
        6225        1014         29
        7009        6214         10
        7009        7016         48
        7011        7022         27
        7076        7050         11
        7154        6144         23
        8111        8567         48
        8119        8156         15
        8125        1129         21
        8139        6088         13
        8154        6030         20
        8156        8285         20
        8211        5169         10
        8215        8395         39
        8215       16466         20
        8220        8285         15
        8256        8277         26
        8312        6030         26
        8312        8204         24
        8338        4378         20
        8363        8318          9
        8376        4378         19
        8393        8149          7
        8524        8537         14
        8529        8537         24
        8529        8596         25
        8596        8596         44
        8705        4297         53
        8709        1122          6
        8709        4230         11
        8709        4378         37
        8815        1295         10
        8815        4257         37
        8834        3013         11
        8834        3394         21
        8851        8890         18
        8855        4180         32
        8858        8806         17
        8889        8850         14
        8890        4170          8
        8905        8850          9
        9024        3422         21
        9110        9147         17
        9123        2091          9
