Thu Nov 02 2023 17:55:28 GMT+0000 (Coordinated Universal Time) - Run Time: 2617ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 2, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        1030        4147         18
        1030        4385         12
        1072        4304         22
        1129        3045         17
        1187        4378         21
        1222        1416         27
        1276        1466         15
        1283        1044         21
        1283        4182         15
        1353        3025         23
        1381        1522         23
        1382        3115         45
        1415        4182          7
        1423        1015         20
        1459        3152         13
        1496        1436          5
        1509        4156         56
        1565        1461          8
        1568        3049         21
        1583        1364         29
        1602        1136         39
        1615        3198         12
        1626        1357          4
        2023        1111         31
        2292        3423         10
        2297        2306         17
        2310        2317         24
        3034        4145         24
        3116        1010         18
        3119        1151          8
        3275        2011         14
        3334        3131          9
        3362        1084         43
        3409        4182         10
        3411        1364         34
        3466        3393          7
        3474        1392         28
        3483        3282         14
        4005        1111          9
        4007        4013         12
        4042        1437         24
        4068        4288         24
        4081        3102         13
        4119        4131         11
        4148        4136         20
        4179        4378          7
        4186        4378         35
        4187        1477          5
        4260        4252         25
        4265        4216         19
        4270        4241         19
        4279        3064         36
        4286        1319         30
        4287        4149          7
        4310        3078         20
        4322        4206         10
        4335        4147         13
        4341        4378         36
        4344        5027          8
        5031        5047         18
        5125        1075         12
        5133        1528         18
        5145        5181         23
        5180        5144          5
        6046        8262         41
        6083        6019         33
        6129        5022         64
        6184        6209         51
        7041        6199          8
        7075        7068         24
        7136        6199         18
        8136        8285         41
        8151        8143          9
        8152       18155         12
        8209        5123         13
        8268        8266         29
        8271        8335         13
        8331        8404         22
        8366        8285         25
        8387        8295         34
        8405        8402         34
        8422        4169         38
        8501        8274         14
        8533        8556         23
        8539       17602         39
        8572        8553         36
        8576        1277         27
        8801        8814         14
        8809        8814         99
        8815        1411         43
        8828        8834          6
        8830        8833          8
        8887        8806         29
        8888        8902         55
        8890        8890         13
        8895        8898          3
        9009        4182          8
        9140        9149         14
        9148        9109         19
       17859        8207         22
       99998        4165         17

TABLE    : start_time (405)

   ggh4_orig   ggh4_dest      total
        1260        1100         14
        1626        1474         92
        4255        4208         36
        4298        5145         23
        8855        8815         27
        9008        9019         29

TABLE    : start_time (410)

   ggh4_orig   ggh4_dest      total
        1367        3222         28
        3011        1010         15
        4094        4156         18
        4200        1203          7
        4370        1286          6
        7075        5115          3
        8225        8206          7

TABLE    : start_time (415)

   ggh4_orig   ggh4_dest      total
        1097        4136         45
        1631        4379         33
        2094        1125         21
        3221        4109         22
        3292        3194         36
        3488        4112         18
        5073        6119         25
        6029        5047         14
        6139        6199         98
        6146        6221         17
        8105        8155         33
        8156        8427         17

TABLE    : start_time (420)

   ggh4_orig   ggh4_dest      total
        1378        1362          9
        1446        1416         20
        2078        3029         18
        2152        1256         28
        4255        4100         43
        6162        6186         29
        8858        8831        100
        8895        1542         26

TABLE    : start_time (425)

   ggh4_orig   ggh4_dest      total
        1286        1042         14
        4310        1319         15

TABLE    : start_time (430)

   ggh4_orig   ggh4_dest      total
        1021        1383         14
        1097        1454         17
        1108        1466         34
        1181        1124         11
        1216        1022         30
        1253        1335         14
        1334        1287         49
        1352        3114         22
        1369        3114         21
        1444        3088         24
        1464        1395         16
        1468        1364         11
        1486        1515          7
        2037        1583         27
        2039        1364         13
        2080        2114        128
        2160        1484         18
        2160        2203         19
        2181        2086         13
        2277        2084         10
        3028        4138         28
        3056        3037         10
        3108        1365         78
        3126        4361         38
        3179        1197         29
        3347        5162         18
        3424        3435         58
        3431        1518         11
        3441        1010         11
        4010        3290         36
        4020        1411         20
        4038        4001         35
        4040        4033         27
        4041        4115         29
        4050        4054         36
        4050        4182         76
        4053        1075          8
        4089        4366          8
        4113        1074         11
        4122        4136         12
        4141        4304         14
        4191        1140         24
        4226        4182         15
        4254        4247         19
        4277        1044         23
        4298        4249          8
        4310        4378          8
        4317        4378         27
        4332        4225         10
        4359        1404          6
        5065        5121         20
        5073        1044         20
        5093        4378          9
        5094        5137         18
        5158        4180         15
        5180        5144          5
        5186        5189          8
        6046        5029         30
        6076        6165         26
        6105        6217         26
        7017        1029         14
        7043        6135         40
        7060        7068         24
        7093        7068         16
        7134        7089         53
        8108        8001         23
        8136        4104         26
        8154        8285         16
        8213        1300         43
        8236        3008         67
        8243        8350         45
        8245        4137         42
        8281        8369         13
        8288        8253         11
        8291        8427         21
        8310        8567         36
        8410        3281         15
        8576        8537         46
        8601        5160         56
        8708        4202         16
        8803        4156         13
        8805        1100         39
        8806        3383         17
        8829        1319         26
        8837        1411         25
        8843        8813         17
        8851        3432         17
        8855        3024         30
        8886        1065         29
        8887        1490         15
        8888        3278         55
        8889        8869         11
        9005        1335         29
        9010        3151         21
        9021        3440         41
        9102        2026         11
        9103        9120         44
        9115        9118         52
        9119        1195         73

TABLE    : start_time (434)

   ggh4_orig   ggh4_dest      total
        1001        1017         18

TABLE    : start_time (435)

   ggh4_orig   ggh4_dest      total
        1453        1289         13
        2131        2290         13
        2169        1454         24
        2223        1510         14
        6062        6044         35
        7033        7157         29
        8147       16485         14
        8366        8380         32
        8705        4182         36

TABLE    : start_time (440)

   ggh4_orig   ggh4_dest      total
        1282        1481         14
        1520        3100         29
        1583        4172         23
        2223        1409         15
        3258        4383         18
        3386        1327         27
        4071        1023          7
        4171        4079         86
        6091        6199         62
        8242        5146         72
        8259        4120         15
        8807        1381         17
        8835        8806         18
        9145        2061         16

TABLE    : start_time (445)

   ggh4_orig   ggh4_dest      total
        1196        4378         10
        1246        1629         16
        1483        1404         17
        2005        2011         17
        2024        1277         38
        2055        4276         34
        2060        4100         87
        2149        1484         11
        2149        2142         27
        2315        2015         21
        2315        2143         15
        3214        3238         21
        3293        3206         21
        4007        1058          4
        4009        4294         10
        4107        1057         15
        4169        4292         17
        4191        1629         34
        4244        4107         10
        4274        4154         60
        4287        4149         18
        4341        1395         12
        5011        5022         22
        5030        5106         43
        5037        4126         24
        6132        6146         47
        7016        7015         88
        7033        7033         22
        8107        4149         18
        8151        8141         24
        8520        4126          8
        8596        8567         19
        8702        3025         15
        8712        4287          9
        8819        4379         23
        8829        8820         20
        8887        1404         13
        8905       17526         19
        8906        8908         13
        9001        1169         26
        9024        9112         31

TABLE    : start_time (450)

   ggh4_orig   ggh4_dest      total
        2166        2192         18
        2189        1052         13
        2212        1060         29
        6220        1115         19
        7011        6199         28
        7100        7144         15
        8254        8336         17
        8300        8573         24
        8839        1013         22
        9005        1395         56

TABLE    : start_time (455)

   ggh4_orig   ggh4_dest      total
        3076        5083         29
        4104        4129         35
        4246        4249         23
        6156        1090         37
        7022        4304         10
        7076        7076          5
        8708        4115         59

TABLE    : start_time (500)

   ggh4_orig   ggh4_dest      total
        1001        7082         11
        1003        3115         67
        1021        4182         12
        1024        4158         19
        1035        1103         26
        1063        1014         16
        1070        1005         13
        1092        4208         19
        1130        1268         27
        1198        1016         20
        1207        3281         12
        1230        1327         23
        1245        4347         31
        1246        4384         16
        1282        3073          8
        1286        3114         28
        1291        3114         16
        1291        3265         32
        1295        3093         15
        1299        1348         20
        1299        1469         66
        1325        4276         16
        1350        1238         76
        1351        1014          6
        1362        1588         18
        1387        5115          9
        1415        1286          7
        1434        4126         12
        1448        1066         30
        1455        4238         93
        1456        3045         28
        1472        1405         12
        1483        1515         47
        1484        1013         15
        1495        1218          9
        1498        5144         40
        1505        1300         14
        1525        1100         29
        1529        3255         13
        1538        4062          9
        1550        3177         20
        1556        1003         13
        1620        1324         51
        1626        1395          9
        2006        1440          4
        2020        1219         28
        2020        1461         19
        2021        4147         29
        2023        1524         41
        2023        2006         16
        2031        3184         35
        2095        3180         18
        2097        2061         31
        2098        1100         10
        2139        1202         17
        2156        2035         16
        2158        2058         12
        2177        4077          8
        2178        1516         35
        2184        9002         17
        2201        1080         47
        2201        3385         18
        2202        1145         47
        2218        9307         16
        2223        9116         34
        2233        3156         17
        2233        4103          8
        2280        1293         44
        2311        1219         18
        2313        8847         24
