Fri Nov 03 2023 12:25:04 GMT+0000 (Coordinated Universal Time) - Run Time: 3400ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 3, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        1118        1319         11
        1146        4156         14
        1219       17819         35
        1275        1447         12
        1292        1274         22
        1302        1015         20
        1314        4378         41
        1318        1469          9
        1354        4318         46
        1382        1373         19
        1390        3114         26
        1408        4379         14
        1433        1503         40
        1528        3074         19
        1553        1503         26
        1556        3300         16
        1610        3131         15
        2196       16638         19
        2223        2035         29
        3108       99998         10
        3119        1469         25
        3128        3206         13
        3150        4378          6
        3173        1368         18
        3258        1061         29
        3266        1588          9
        3287        3275         23
        3446        4115         96
        3455        4378         13
        3472        3094         25
        3486        3131         36
        4012        1015         50
        4044        3022         34
        4044        4304          8
        4076        4220         12
        4121        4253         17
        4138        4378         48
        4186        4170         67
        4191        4206          6
        4191        4351         25
        4210        1129          5
        4218        4120         11
        4228        4361         51
        4232        4219         11
        4245        4253         12
        4278        4378         21
        4312        1416         23
        4317        4378         22
        4329        4154         44
        4329        4292         44
        5087        1138         20
        5148        4385          7
        6041        6184         44
        6107        6056         20
        6146        5090         17
        6149        6199         48
        6150        6109         43
        6159        6119        151
        6193        7109         33
        6224        5032         17
        7003        7080         28
        7009        7019         11
        7022        8573         17
        7031        7068         20
        7032        7030         64
        7037        5115         21
        7073       17775         26
        7083        7063         18
        7137        7139         16
        7138        6119         13
        8105        6199         12
        8130       16343         34
        8153        8002         16
        8217        8231         16
        8240        8404         32
        8279        8370         26
        8331        8274         10
        8340        4379         13
        8367        8374         25
        8501        8211         30
        8524        1416         20
        8541        8515         25
        8604        4169         10
        8702        4203         26
        8703        1018         24
        8708        4216         12
        8710        8703         49
        8806        4249          9
        8830        3024         11
        8834        8833         33
        8837        3035         11
        8858        1221          8
        8883        1115         55
        8914        8806         10
        9005        1461         64
        9145        1584         44

TABLE    : start_time (405)

   ggh4_orig   ggh4_dest      total
        1022        1008         20
        1302        1390         28
        3121        4250          6
        5143        4001          9
        8515        8537         22
        8847        8817         30

TABLE    : start_time (410)

   ggh4_orig   ggh4_dest      total
        1004        1608         12
        1331        4378         27
        2014        1623         14
        2278        1087         11
        4235        4189         94
        4285        4038          6
        4311        3078         41
        7137        8016         24

TABLE    : start_time (415)

   ggh4_orig   ggh4_dest      total
        1146        4069         14
        1164        4378         11
        1224        1262         11
        1232        1066         12
